measurement_sites,radius,success,max_violation,min_demand_viol,output_dir
"['30', '40']",0.0031977742420568325,True,0.0,0.000213950763216204,data/Anytown-B-batch-20260331-165254/30_40
"['100', '110']",0.003199761330489028,True,0.0,6.410963295074807e-05,data/Anytown-B-batch-20260331-165254/100_110
"['20', '50']",0.0032044223336921253,True,0.0,0.00028187999979440673,data/Anytown-B-batch-20260331-165254/20_50
"['100', '160']",0.003205894957583476,True,0.0,-1.9985630842479496e-06,data/Anytown-B-batch-20260331-165254/100_160
"['40', '50']",0.0033180378221996463,True,0.0,0.0002257002407165611,data/Anytown-B-batch-20260331-165254/40_50
"['100', '40']",0.0033307581452112506,True,0.0,0.00022727537197466636,data/Anytown-B-batch-20260331-165254/100_40
"['30', '90']",0.003337077825901419,True,0.0,0.00019554447508686557,data/Anytown-B-batch-20260331-165254/30_90
"['30', '60']",0.0033416601592947334,True,0.0,0.00020817923044533327,data/Anytown-B-batch-20260331-165254/30_60
"['110', '170']",0.003380077101151952,True,0.0,5.718702545017996e-06,data/Anytown-B-batch-20260331-165254/110_170
['50'],0.0033826454073506863,True,0.0,0.0002325828135624357,data/Anytown-B-batch-20260331-165254/50
"['150', '170']",0.0033836206333749974,True,0.0,1.5257048274820329e-05,data/Anytown-B-batch-20260331-165254/150_170
"['30', '75']",0.0033869986357861802,True,0.0,-7.313619636889386e-08,data/Anytown-B-batch-20260331-165254/30_75
"['110', '120']",0.0033924699774435653,True,0.0,0.0001652066564690201,data/Anytown-B-batch-20260331-165254/110_120
"['130', '40']",0.0033953897751278564,True,0.0,-1.9926343769936505e-06,data/Anytown-B-batch-20260331-165254/130_40
"['160', '60']",0.003454014325941537,True,0.0,1.6090113576978538e-05,data/Anytown-B-batch-20260331-165254/160_60
"['150', '50']",0.0034897826799980547,True,0.0,0.0003347204381677983,data/Anytown-B-batch-20260331-165254/150_50
"['100', '140']",0.0034997943474766664,True,0.0,0.00035524025360839193,data/Anytown-B-batch-20260331-165254/100_140
"['110', '30']",0.0034998164448742674,True,0.0,-1.999041017711588e-06,data/Anytown-B-batch-20260331-165254/110_30
['75'],0.0035326157728759223,True,0.0,0.00046544732507138823,data/Anytown-B-batch-20260331-165254/75
"['20', '75']",0.003544350712136715,True,0.0,0.00046484861297799954,data/Anytown-B-batch-20260331-165254/20_75
"['50', '90']",0.003554295471327264,True,0.0,-1.9970378865506444e-06,data/Anytown-B-batch-20260331-165254/50_90
"['120', '150']",0.003581015951574118,True,0.0,0.00012585385987744325,data/Anytown-B-batch-20260331-165254/120_150
"['110', '40']",0.0035818898555819417,True,0.0,-1.995175422860428e-06,data/Anytown-B-batch-20260331-165254/110_40
"['20', '90']",0.003609680956360209,True,0.0,0.00011919053927166818,data/Anytown-B-batch-20260331-165254/20_90
"['120', '140']",0.0036103860842300883,True,0.0,0.00029604252732425105,data/Anytown-B-batch-20260331-165254/120_140
"['110', '50']",0.003626300684795822,True,0.0,-1.9997138233561184e-06,data/Anytown-B-batch-20260331-165254/110_50
"['40', '90']",0.003693266790642186,True,0.0,0.00011364064463463653,data/Anytown-B-batch-20260331-165254/40_90
"['100', '90']",0.0036974940619820228,True,0.0,5.441193052165106e-05,data/Anytown-B-batch-20260331-165254/100_90
['90'],0.0037070275196481334,True,0.0,0.00010331125758122995,data/Anytown-B-batch-20260331-165254/90
"['130', '150']",0.0037684137014100255,True,0.0,0.0001629313784467661,data/Anytown-B-batch-20260331-165254/130_150
"['30', '50']",0.0037784465390017395,True,0.0,-1.9992521064899893e-06,data/Anytown-B-batch-20260331-165254/30_50
"['140', '90']",0.003790049219161893,True,0.0,-1.9928176681675558e-06,data/Anytown-B-batch-20260331-165254/140_90
['150'],0.0037905774754088354,True,0.0,0.00016633645599207453,data/Anytown-B-batch-20260331-165254/150
"['20', '40']",0.003801737868628057,True,0.0,0.00012102389095040956,data/Anytown-B-batch-20260331-165254/20_40
"['140', '20']",0.0038050754909872,True,0.0,0.00046383012346430067,data/Anytown-B-batch-20260331-165254/140_20
"['40', '60']",0.0038152339714018486,True,0.0,9.215838553703576e-05,data/Anytown-B-batch-20260331-165254/40_60
"['150', '20']",0.0039126886283012705,True,0.0,0.0001673352057968296,data/Anytown-B-batch-20260331-165254/150_20
"['110', '150']",0.0039677281575263915,True,0.0,0.00011220771704820959,data/Anytown-B-batch-20260331-165254/110_150
"['120', '30']",0.003977529059893166,True,0.0,0.00042188109279542405,data/Anytown-B-batch-20260331-165254/120_30
['40'],0.004026013223474349,True,0.0,6.370668147372932e-05,data/Anytown-B-batch-20260331-165254/40
"['110', '20']",0.00407966291728265,True,0.0,0.00014248290844673484,data/Anytown-B-batch-20260331-165254/110_20
"['100', '60']",0.004152012138779815,True,0.0,8.922778177965319e-05,data/Anytown-B-batch-20260331-165254/100_60
"['100', '150']",0.004152412835295389,True,0.0,4.9171865474589464e-05,data/Anytown-B-batch-20260331-165254/100_150
"['130', '140']",0.004158329336520646,True,0.0,0.000282520204612267,data/Anytown-B-batch-20260331-165254/130_140
['110'],0.004259766802476969,True,0.0,0.00010779588213952296,data/Anytown-B-batch-20260331-165254/110
"['115', '20']",0.004336809249922289,True,0.0,0.0005224598051882186,data/Anytown-B-batch-20260331-165254/115_20
['115'],0.004369336759387842,True,0.0,0.0005231134711059803,data/Anytown-B-batch-20260331-165254/115
"['100', '20']",0.004370430987975451,True,0.0,-1.9843465671593996e-06,data/Anytown-B-batch-20260331-165254/100_20
